player_id,first_name,last_name,display_name,short_name,country,country_flag,amateur,position,total,total_sort,thru,score,score_sort,current_round,player_state,tee_time,course_id,group_number,back_nine,movement_direction,movement_amount,total_strokes,official,projected,round_1,round_2,round_3,round_4
57362,Austin,Eckroat,Austin Eckroat,A. Eckroat,USA,USA,False,T58,-7,-7.0,F,-1,-1.0,4.0,COMPLETE,,669,11.0,False,DOWN,-9,277,110,114,71,67,69,70
50484,Hayden,Springer,Hayden Springer,H. Springer,USA,USA,False,T58,-7,-7.0,F,+1,1.0,4.0,COMPLETE,,669,13.0,False,DOWN,-21,277,127,129,66,68,71,72
34466,Peter,Malnati,Peter Malnati,P. Malnati,USA,USA,False,T58,-7,-7.0,F,E,0.0,4.0,COMPLETE,,669,13.0,False,DOWN,-14,277,163,164,71,66,69,71
29725,Tony,Finau,Tony Finau,T. Finau,USA,USA,False,T58,-7,-7.0,F,E,0.0,4.0,COMPLETE,,669,13.0,False,DOWN,-14,277,77,79,70,68,68,71
50095,Austin,Smotherman,Austin Smotherman,A. Smotherman,USA,USA,False,T58,-7,-7.0,F,+1,1.0,4.0,COMPLETE,,669,14.0,False,DOWN,-21,277,68,70,66,69,70,72
56762,Will,Gordon,Will Gordon,W. Gordon,USA,USA,False,64,-6,-6.0,F,-3,-3.0,4.0,COMPLETE,,669,4.0,False,UP,5,278,-,208,70,69,71,68
27770,Camilo,Villegas,Camilo Villegas,C. Villegas,COL,COL,False,T65,-5,-5.0,F,-3,-3.0,4.0,COMPLETE,,669,3.0,False,UP,8,279,186,188,71,67,73,68
47995,Davis,Riley,Davis Riley,D. Riley,USA,USA,False,T65,-5,-5.0,F,E,0.0,4.0,COMPLETE,,669,9.0,False,DOWN,-10,279,136,138,65,72,71,71
48001,Zach,Bauchou,Zach Bauchou,Z. Bauchou,USA,USA,False,T67,-4,-4.0,F,-2,-2.0,4.0,COMPLETE,,669,3.0,False,UP,6,280,84,85,69,70,72,69
32070,Rafael,Campos,Rafael Campos,R. Campos,PUR,PUR,False,T67,-4,-4.0,F,E,0.0,4.0,COMPLETE,,669,6.0,False,DOWN,-3,280,181,182,66,71,72,71
57123,Steven,Fisk,Steven Fisk,S. Fisk,USA,USA,False,T67,-4,-4.0,F,E,0.0,4.0,COMPLETE,,669,6.0,False,DOWN,-3,280,96,99,68,68,73,71
54576,Patrick,Fishburn,Patrick Fishburn,P. Fishburn,USA,USA,False,T67,-4,-4.0,F,+2,2.0,4.0,COMPLETE,,669,11.0,False,DOWN,-18,280,157,156,65,71,71,73
24925,Jonathan,Byrd,Jonathan Byrd,J. Byrd,USA,USA,False,T71,-3,-3.0,F,-1,-1.0,4.0,COMPLETE,,669,3.0,False,UP,2,281,205,201,69,70,72,70
50286,A.J.,Ewart,A.J. Ewart,A. Ewart,CAN,CAN,False,T71,-3,-3.0,F,+1,1.0,4.0,COMPLETE,,669,5.0,False,DOWN,-7,281,88,90,67,72,70,72
39971,Sungjae,Im,Sungjae Im,S. Im,KOR,KOR,False,T71,-3,-3.0,F,+5,5.0,4.0,COMPLETE,,669,15.0,False,DOWN,-34,281,60,60,68,69,68,76
28679,Fabián,Gómez,Fabián Gómez,F. Gómez,ARG,ARG,False,T74,-2,-2.0,F,-3,-3.0,4.0,COMPLETE,,669,1.0,False,UP,4,282,197,198,72,67,75,68
37278,Nicholas,Lindheim,Nicholas Lindheim,N. Lindheim,USA,USA,False,T74,-2,-2.0,F,-2,-2.0,4.0,COMPLETE,,669,2.0,False,UP,2,282,-,211,69,68,76,69
57124,Michael,Feagles,Michael Feagles,M. Feagles,USA,USA,False,T74,-2,-2.0,F,-2,-2.0,4.0,COMPLETE,,669,2.0,False,UP,2,282,-,-,69,70,74,69
68994,Ryan,Voois,Ryan Voois,R. Voois,USA,USA,False,77,E,0.0,F,+3,3.0,4.0,COMPLETE,,669,4.0,False,DOWN,-8,284,-,-,68,70,72,74
